open_time,datetime,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1722038400000,2024-07-27 00:00:00,580.90000000,592.80000000,572.60000000,581.60000000,184468.85500000,1722124799999,107622930.32550000,229095,90689.81400000,52929207.66310000
1722124800000,2024-07-28 00:00:00,581.60000000,584.90000000,574.50000000,583.90000000,92606.64200000,1722211199999,53762708.78600000,131654,45934.88200000,26669496.37250000
1722211200000,2024-07-29 00:00:00,583.90000000,598.00000000,572.20000000,574.30000000,213824.08900000,1722297599999,125254349.94330000,303558,104271.08500000,61157594.76120000
1722297600000,2024-07-30 00:00:00,574.30000000,588.30000000,566.60000000,588.20000000,165024.41300000,1722383999999,94752452.14390000,288160,82571.95200000,47456719.21000000
1722384000000,2024-07-31 00:00:00,588.10000000,592.90000000,574.70000000,576.50000000,194701.72300000,1722470399999,113838698.84110000,297654,93988.40700000,54989504.62380000
1722470400000,2024-08-01 00:00:00,576.50000000,578.00000000,553.70000000,575.10000000,280418.86500000,1722556799999,158920157.63530000,463264,129509.12200000,73374507.30180000
1722556800000,2024-08-02 00:00:00,575.20000000,577.60000000,540.20000000,542.90000000,283605.00100000,1722643199999,158973647.91000000,431920,128684.10700000,72122137.08590000
1722643200000,2024-08-03 00:00:00,542.90000000,545.30000000,521.30000000,529.60000000,245777.52500000,1722729599999,131076763.63820000,376792,113448.99700000,60513581.02460000
1722729600000,2024-08-04 00:00:00,529.70000000,532.20000000,486.50000000,496.90000000,390238.28500000,1722815999999,198331072.87140000,521749,180912.74200000,91921638.99260000
1722816000000,2024-08-05 00:00:00,496.90000000,499.90000000,400.00000000,464.20000000,2114679.75000000,1722902399999,936709946.27170000,1999683,991325.44300000,439439578.56400000
1722902400000,2024-08-06 00:00:00,464.30000000,494.40000000,463.50000000,484.80000000,458815.00700000,1722988799999,221910821.61030000,588215,228954.24400000,110735193.22770000
1722988800000,2024-08-07 00:00:00,484.90000000,497.70000000,468.10000000,475.00000000,322182.48700000,1723075199999,155878721.24770000,490829,155038.70900000,75075556.43660000
1723075200000,2024-08-08 00:00:00,475.00000000,521.70000000,467.50000000,517.10000000,286744.60800000,1723161599999,142644959.03290000,396134,153399.82400000,76408441.51650000
1723161600000,2024-08-09 00:00:00,517.20000000,518.40000000,498.70000000,508.70000000,195125.10600000,1723247999999,99252951.01510000,300036,87638.31600000,44592603.03840000
1723248000000,2024-08-10 00:00:00,508.70000000,525.40000000,507.20000000,523.10000000,126212.23800000,1723334399999,65106264.40610000,188096,69339.07400000,35767820.31780000
1723334400000,2024-08-11 00:00:00,523.20000000,535.80000000,502.30000000,503.40000000,206038.71400000,1723420799999,107396614.40000000,327297,98236.25100000,51266008.83940000
1723420800000,2024-08-12 00:00:00,503.50000000,524.00000000,499.20000000,518.20000000,285951.34700000,1723507199999,146276671.41020000,434495,146689.81700000,75094982.75240000
1723507200000,2024-08-13 00:00:00,518.30000000,527.00000000,513.10000000,524.20000000,255029.49700000,1723593599999,132679939.59350000,350436,134962.11900000,70235963.36600000
1723593600000,2024-08-14 00:00:00,524.20000000,531.90000000,515.40000000,523.40000000,220850.01100000,1723679999999,115904285.29380000,379215,112167.63100000,58880894.10840000
1723680000000,2024-08-15 00:00:00,523.40000000,533.90000000,510.00000000,519.20000000,229628.30600000,1723766399999,119729441.44650000,405281,115831.87700000,60442003.22240000
1723766400000,2024-08-16 00:00:00,519.20000000,524.50000000,509.90000000,519.70000000,174036.14100000,1723852799999,90234466.81960000,351806,86807.48700000,45026778.64940000
1723852800000,2024-08-17 00:00:00,519.70000000,547.70000000,518.30000000,541.60000000,196365.58600000,1723939199999,104648859.65980000,304316,101830.01600000,54272526.58870000
1723939200000,2024-08-18 00:00:00,541.70000000,542.60000000,530.80000000,531.20000000,148890.01800000,1724025599999,80080999.48610000,279357,76081.30800000,40936215.38850000
