open_time,datetime,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1769536800000,2026-01-27 18:00:00,87546.58000000,88510.15000000,87450.00000000,88285.05000000,865.62099000,1769540399999,76057266.53947790,264807,542.81155000,47703774.25225530
1769540400000,2026-01-27 19:00:00,88285.05000000,88549.32000000,88049.89000000,88408.77000000,469.70931000,1769543999999,41485439.99135270,182020,189.38076000,16725791.26553650
1769544000000,2026-01-27 20:00:00,88408.78000000,89497.19000000,88373.49000000,89396.16000000,1024.56489000,1769547599999,91255268.93303300,283254,620.55259000,55278913.05875640
1769547600000,2026-01-27 21:00:00,89396.03000000,89523.16000000,89008.75000000,89081.46000000,689.88066000,1769551199999,61592218.26424240,162970,396.94736000,35440047.45609580
1769551200000,2026-01-27 22:00:00,89081.47000000,89421.91000000,89021.61000000,89243.63000000,281.54432000,1769554799999,25118044.78076610,89337,145.84083000,13012829.73263860
1769554800000,2026-01-27 23:00:00,89243.63000000,89515.78000000,89143.92000000,89250.00000000,421.36315000,1769558399999,37653685.40414980,88401,185.97264000,16616918.54666430
1769558400000,2026-01-28 00:00:00,89249.99000000,89468.01000000,89154.80000000,89467.72000000,258.84583000,1769561999999,23110231.49365310,82957,141.59178000,12642961.16048230
1769562000000,2026-01-28 01:00:00,89467.73000000,89497.96000000,89196.87000000,89404.57000000,267.52883000,1769565599999,23913648.55431320,94523,114.27414000,10214104.17679060
1769565600000,2026-01-28 02:00:00,89404.57000000,89453.89000000,89100.01000000,89285.77000000,214.15071000,1769569199999,19115380.66042220,95501,84.60304000,7552997.92642070
1769569200000,2026-01-28 03:00:00,89285.78000000,89311.87000000,88985.00000000,89126.67000000,353.86100000,1769572799999,31534275.34851270,100661,141.75568000,12631132.57994680
1769572800000,2026-01-28 04:00:00,89126.68000000,89160.00000000,88840.00000000,88975.04000000,312.10964000,1769576399999,27767899.28444480,84659,117.11249000,10419003.07197470
1769576400000,2026-01-28 05:00:00,88975.03000000,89105.56000000,88849.00000000,89084.10000000,326.80822000,1769579999999,29083986.97247630,79849,157.96758000,14057987.56231340
1769580000000,2026-01-28 06:00:00,89084.10000000,89400.00000000,89084.10000000,89317.47000000,340.81001000,1769583599999,30419246.82164010,92617,164.76254000,14706651.50469060
1769583600000,2026-01-28 07:00:00,89317.47000000,89358.51000000,89099.81000000,89134.35000000,370.19520000,1769587199999,33026854.06321430,86566,107.43314000,9585499.53618670
1769587200000,2026-01-28 08:00:00,89134.35000000,89258.02000000,88833.65000000,88925.47000000,515.45435000,1769590799999,45910123.44042420,115975,194.40587000,17318015.33595250
1769590800000,2026-01-28 09:00:00,88925.47000000,89567.26000000,88849.99000000,89567.25000000,490.95043000,1769594399999,43784950.11177690,126229,290.77963000,25940608.93369210
1769594400000,2026-01-28 10:00:00,89567.25000000,89703.87000000,89330.22000000,89403.77000000,688.45427000,1769597999999,61615392.48102160,160113,318.73352000,28527394.45364780
1769598000000,2026-01-28 11:00:00,89403.76000000,90156.72000000,89313.13000000,90080.00000000,1092.21486000,1769601599999,97997265.49816780,198930,618.33581000,55497385.09406250
1769601600000,2026-01-28 12:00:00,90079.99000000,90176.88000000,89790.00000000,89998.69000000,946.78783000,1769605199999,85173012.32425740,179417,440.74467000,39656938.83921270
1769605200000,2026-01-28 13:00:00,89998.69000000,90488.00000000,89969.42000000,90257.91000000,1485.47795000,1769608799999,134099074.09960940,250842,891.64888000,80496508.81860370
1769608800000,2026-01-28 14:00:00,90257.91000000,90276.78000000,89460.01000000,89617.27000000,997.73721000,1769612399999,89678134.52578390,383355,434.72264000,39075659.80125470
1769612400000,2026-01-28 15:00:00,89617.27000000,89849.75000000,88904.61000000,89479.66000000,998.88376000,1769615999999,89225868.62263860,429398,470.16576000,42003345.87535310
1769616000000,2026-01-28 16:00:00,89479.66000000,89830.00000000,89248.61000000,89629.66000000,744.86311000,1769619599999,66715151.08500410,280620,435.22008000,38990267.67454050
1769619600000,2026-01-28 17:00:00,89629.66000000,90600.00000000,89277.21000000,90169.88000000,923.32635000,1769623199999,83089378.78514360,248746,524.07782000,47168592.52732560
1769623200000,2026-01-28 18:00:00,90169.89000000,90178.91000000,89312.88000000,89546.24000000,748.51147000,1769626799999,67166682.99997480,227936,299.35963000,26861146.89590330
1769626800000,2026-01-28 19:00:00,89544.00000000,89719.58000000,89006.36000000,89402.58000000,893.38320000,1769630399999,79834899.03531970,484460,425.74518000,38049321.26796800
1769630400000,2026-01-28 20:00:00,89402.57000000,89896.00000000,89010.00000000,89130.63000000,590.94624000,1769633999999,52856777.93669230,227613,277.15440000,24795982.27776610
1769634000000,2026-01-28 21:00:00,89130.63000000,89490.24000000,88878.01000000,89412.17000000,381.49994000,1769637599999,34020454.60423000,191513,180.95878000,16143776.76819030
1769637600000,2026-01-28 22:00:00,89412.18000000,89479.04000000,89138.00000000,89396.15000000,156.23518000,1769641199999,13952427.27004560,73786,67.92920000,6066578.33210960
1769641200000,2026-01-28 23:00:00,89396.15000000,89471.41000000,89209.48000000,89299.99000000,233.14943000,1769644799999,20828724.83270520,89525,115.96110000,10359170.90074810
1769644800000,2026-01-29 00:00:00,89300.00000000,89348.00000000,88900.00000000,89143.91000000,431.21285000,1769648399999,38417474.57702970,154141,141.87832000,12640673.90631030
1769648400000,2026-01-29 01:00:00,89143.92000000,89159.99000000,88548.87000000,88603.56000000,624.81108000,1769651999999,55457853.91650030,206468,259.68948000,23044009.94219060
1769652000000,2026-01-29 02:00:00,88603.56000000,88754.64000000,87704.00000000,87907.06000000,1097.35161000,1769655599999,96803584.80054590,306119,419.04418000,36961771.58269710
1769655600000,2026-01-29 03:00:00,87907.05000000,88265.39000000,87771.30000000,88053.71000000,769.73434000,1769659199999,67779202.91225340,174848,444.52824000,39143208.02583030
1769659200000,2026-01-29 04:00:00,88053.71000000,88345.66000000,87901.23000000,88315.20000000,311.34380000,1769662799999,27429649.77620030,86833,191.39502000,16861932.61408400
1769662800000,2026-01-29 05:00:00,88315.20000000,88408.08000000,88142.66000000,88186.54000000,354.31355000,1769666399999,31282812.21404400,77402,183.84328000,16230270.83467330
1769666400000,2026-01-29 06:00:00,88186.53000000,88338.67000000,88168.90000000,88319.35000000,284.51762000,1769669999999,25114183.54322590,71779,138.98991000,12268781.61137600
1769670000000,2026-01-29 07:00:00,88319.35000000,88430.05000000,88250.00000000,88352.97000000,526.73614000,1769673599999,46525841.68533450,83926,255.17139000,22539814.22962820
1769673600000,2026-01-29 08:00:00,88352.96000000,88500.00000000,87907.80000000,88064.16000000,823.67262000,1769677199999,72619731.09359920,133101,352.84347000,31109187.85606410
1769677200000,2026-01-29 09:00:00,88064.16000000,88160.00000000,87892.00000000,87892.01000000,372.84765000,1769680799999,32816440.52692670,70955,168.79369000,14859103.24128230
1769680800000,2026-01-29 10:00:00,87892.00000000,88046.59000000,87832.18000000,87946.46000000,575.41561000,1769684399999,50598572.70513070,76150,271.93503000,23913569.83777450
1769684400000,2026-01-29 11:00:00,87946.47000000,88066.94000000,87750.01000000,87846.50000000,527.10516000,1769687999999,46315623.74915730,94975,239.93961000,21082629.26859710
1769688000000,2026-01-29 12:00:00,87846.50000000,88121.29000000,87817.97000000,88121.21000000,516.69113000,1769691599999,45460648.37277930,76207,225.81118000,19868949.61902400
1769691600000,2026-01-29 13:00:00,88121.21000000,88182.29000000,87951.67000000,88052.88000000,283.13252000,1769695199999,24940417.09938890,57434,154.28223000,13590024.72938760
